identifier,canonical_smiles,standard_inchi_key,name_coconut,iupac_name_coconut,molecular_formula,mw_coconut,alogp,tpsa_coconut,hba_coconut,hbd_coconut,rot_bonds_coconut,qed_drug_likeliness,lipinski_violations,aromatic_rings,frac_csp3,np_likeness_num,np_classifier_pathway,np_classifier_superclass,np_classifier_class,chemical_class,chemical_superclass,direct_parent,organisms,collections,contains_sugar,contains_ring_sugars,dois,source_database,is_african_np,lipinski_pass,inchikey_14,npass_np_id,in_npass,p_active,african_rank
CNP0346575.1,C=C1C(=O)CO[C@@H]2/C=C(/COC(C)=O)C/C=C(/C=O)C[C@H](OC(=O)[C@H](C)CC)[C@H]12,JPLKIHFXKRXNIK-AOAZXMHASA-N,,"[(4~{a}~{S},5~{S},7~{E},10~{Z},11~{a}~{R})-10-(acetoxymethyl)-7-formyl-4-methylene-3-oxo-5,6,9,11~{a}-tetrahydro-4~{a}~{H}-cyclonona[b]pyran-5-yl] (2~{R})-2-methylbutanoate",C22H28O7,404.46,2.49,95.97,7,0,6,0.29,0,0,0.55,2.68,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids,Fatty Acyls,Lipids and lipid-like molecules,Fatty acid esters,,AfroDB,f,f,,COCONUT,True,True,JPLKIHFXKRXNIK,,False,0.319736222864541,115
CNP0262717.2,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@H](CO)CC[C@]3(C)CC[C@]12C,RRKSDDREVOXSJD-VOEASNBBSA-N,isoiguesterol,"(6~{a}~{S},6~{b}~{S},8~{a}~{R},11~{R},12~{a}~{R},14~{a}~{R})-3-hydroxy-11-(hydroxymethyl)-4,6~{a},6~{b},8~{a},14~{a}-pentamethyl-8,9,10,11,12,12~{a},13,14-octahydro-7~{H}-picen-2-one",C28H38O3,422.61,6.22,57.53,3,2,1,0.53,1,0,0.68,3.36,Terpenoids,Triterpenoids,Lupane triterpenoids,Organooxygen compounds,Organic oxygen compounds,Cyclic ketones,Salacia kraussii|Salacia madagascariensis,ANPDB|AfroDB|NANPDB (Natural Products from Northern African Sources)|NPACT|NPASS|Super Natural II|ZINC NP,f,f,10.1021/np0497088|10.1021/np9704157,COCONUT,True,True,RRKSDDREVOXSJD,NPC291999,True,0.3194892796542104,116
CNP0323192.0,COc1cc2nc3occc3c(OC)c2cc1OC,JBRXRVFXQIKPEA-UHFFFAOYSA-N,Kokusaginine,"4,6,7-trimethoxyfuro[2,3-b]quinoline",C14H13NO4,259.26,3.01,53.72,5,0,3,0.72,0,3,0.21,0.7,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Quinolines and derivatives,Organoheterocyclic compounds,Furanoquinolines,Aconitum volubile|Acronychia laurifolia|Acronychia spp.|Aeollanthus buchnerianus|Allium ramosum|Boronia anemonifolia|Cassia singueana|Cetorhinus maximus|Cladosporium phlei|Cynoglossum viridiflorum|Dacrydium fonkii|Daphne tangutica|Derris malaccensis|Dictamnus albus L.|Echium plantagineum|Erigeron acris|Esenbeckia leiocarpa|Euodia spp.|Euphorbia hirta|Evodia sp.|Flindersia collina|Glycosmis cochinchinensis|Halosaccion ramentaceum|Haplophyllum|Haplophyllum sp.|Haplophyllum spp.|Helianthus niveus|Hernandia sonora|Ilex oblonga|Laurencia glandulifera|Leptospermum recurvum|Limonium bicolor|Melicope leptococca|Melicope semecarpifolia|Melicope sp.|Melicope spp.|Oricia suaveolens|Orixa japonica|Orixa japonica Thunb.|Orixa sp.|Orixa spp.|Pachysandra axillaris|Parmelia damaziana|Pitaviaster haplophyllus|Ruta chalepensis L.|Ruta graveolens|Ruta graveolens L.|Sarcomelicope glauca|Strychnos potatorum|Teclea nobilis|Teclea simplicifolia|Tricleocarpa fragilis|Vepris punctata|Vitellaria paradoxa|Zanthoxylum bungeanum,ANPDB|AfroCancer|AfroDB|Australian natural products|CMAUP (cCollective molecular activities of useful plants)|ChEBI NPs|ChemSpider NPs|ConMedNP|KNApSaCK|Latin America dataset|NANPDB (Natural Products from Northern African Sources)|NPASS|NPCARE|NPEdia|NuBBEDB|Phyto4Health|PubChem NPs|Specs Natural Products|Super Natural II|TCMDB@Taiwan (Traditional Chinese Medicine database)|TCMID (Traditional Chinese Medicine Integrated Database)|TIPdb (database of Taiwan indigenous plants)|TPPT (Toxic Plants–PhytoToxins)|UNPD (Universal Natural Products Database)|VietHerb|ZINC NP,f,f,10.1002/biuz.19840140514|10.1002/food.19880321030|10.1016/j.phytol.2011.08.012|10.1021/jf0259361|10.1021/np010122k|10.1021/np020578h|10.1021/np800276f|10.1071/ch20125|10.1071/ch9520412|10.1177/1934578x0600100502|10.3390/molecules15129205,COCONUT,True,True,JBRXRVFXQIKPEA,NPC217176,True,0.3179360885497922,117
CNP0115082.0,COc1c2cc3c(cc2nc2occc12)OCO3,VPNYHHBCMOYPCJ-UHFFFAOYSA-N,Maculine,"8-methoxy-4,12,14-trioxa-2-azatetracyclo[7.7.0.0^{3,7}.0^{11,15}]hexadeca-1,3(7),5,8,10,15-hexaene",C13H9NO4,243.22,2.72,53.72,5,0,1,0.66,0,3,0.15,0.8,Alkaloids,Tryptophan alkaloids,Quinoline alkaloids,Quinolines and derivatives,Organoheterocyclic compounds,Furanoquinolines,Aconitum volubile|Aeollanthus buchnerianus|Araliopsis soyauxii|Cetorhinus maximus|Cynoglossum viridiflorum|Derris malaccensis|Echium plantagineum|Esenbeckia leiocarpa|Esenbeckia litoralis|Flindersia dissosperma|Flindersia maculosa|Helianthus niveus|Helietta parvifolia|Hernandia sonora|Leptospermum recurvum|Oricia suaveolens|Parmelia damaziana|Sargentia greggii|Teclea nobilis|Teclea simplicifolia|Teclea sudanica|Vepris punctata,ANPDB|AfroCancer|AfroDB|Australian natural products|CMAUP (cCollective molecular activities of useful plants)|ChEBI NPs|ChemSpider NPs|KNApSaCK|Latin America dataset|Mitishamba database|NANPDB (Natural Products from Northern African Sources)|NPASS|NPCARE|NPEdia|NuBBEDB|Specs Natural Products|Super Natural II|UNPD (Universal Natural Products Database)|ZINC NP,f,f,10.1016/j.phytol.2011.08.012|10.1021/np020578h|10.1021/np800276f|10.1071/ch9570480|10.3390/molecules15129205,COCONUT,True,True,VPNYHHBCMOYPCJ,NPC168922,True,0.31785359733054286,118
CNP0175281.0,CC#CC#CC#Cc1cc(Cl)ccc1OC,RRAILGVSQOBWBZ-UHFFFAOYSA-N,,"4-chloro-2-hepta-1,3,5-triynyl-1-methoxy-benzene",C14H9ClO,228.68,2.73,9.23,1,0,1,0.67,0,1,0.14,0.8,,,,Phenol ethers,Benzenoids,Anisoles,,AfroDB|Super Natural II|UNPD (Universal Natural Products Database)|ZINC NP,f,f,,COCONUT,True,True,RRAILGVSQOBWBZ,,False,0.3177166740056759,119
CNP0210282.1,COc1cc([C@H]2COc3cc4occc4cc3C2=O)c(OC)cc1C,CBBWEPMUFGEDOQ-OAHLLOKOSA-N,,"(6~{S})-6-(2,5-dimethoxy-4-methyl-phenyl)-6,7-dihydrofuro[3,2-g]chromen-5-one",C20H18O5,338.36,4.12,57.9,5,0,3,0.72,0,3,0.25,1.15,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavanones,Isoflavonoids,Phenylpropanoids and polyketides,3'-O-methylated isoflavonoids,,AfroCancer|AfroDB|ZINC NP,f,f,,COCONUT,True,True,CBBWEPMUFGEDOQ,,False,0.3168532703390885,120
CNP0346501.1,C=CC[C@@]12C[C@]3(C[C@H](C)[C@@H]1c1cc(OC)c4c(c1)OCO4)OCOC3=CC2=O,QYDWOXZQMXKBBE-WIJIMTNCSA-N,,"(1~{S},8~{R},9~{R},10~{S})-8-allyl-9-(7-methoxy-1,3-benzodioxol-5-yl)-10-methyl-2,4-dioxatricyclo[6.3.1.0^{1,5}]dodec-5-en-7-one",C22H24O6,384.43,3.71,63.22,6,0,4,0.74,0,1,0.5,2.18,Shikimates and Phenylpropanoids,Lignans,Minor lignans,Benzodioxoles,Organoheterocyclic compounds,Benzodioxoles,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,QYDWOXZQMXKBBE,,False,0.3162404404429907,121
CNP0355142.0,CN1CCc2cc3c(c4c2c1cc1cc2c(cc14)OCO2)OCO3,ZTXGGRMVULLHNF-UHFFFAOYSA-N,,"13-methyl-5,7,19,21-tetraoxa-13-azahexacyclo[10.10.1.0^{2,10}.0^{4,8}.0^{16,23}.0^{18,22}]tricosa-1,3,8,10,12(23),16,18(22)-heptaene",C19H15NO4,321.33,3.44,40.16,5,0,0,0.59,0,3,0.26,1.08,Alkaloids,Tyrosine alkaloids,Aporphine alkaloids,Aporphines,Alkaloids and derivatives,Aporphines,,AfroDB|Super Natural II|UNPD (Universal Natural Products Database)|ZINC NP,f,f,,COCONUT,True,True,ZTXGGRMVULLHNF,,False,0.31582730592806324,122
CNP0346417.1,COc1ccc([C@H]2CC(=O)c3c(O)cc(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O)cc3O2)cc1,DMPZEZRVMODILP-XUKPLFAISA-N,,"(2~{R},3~{S},4~{R},5~{R})-2,3,4,5-tetrahydroxy-6-[(2~{R})-5-hydroxy-2-(4-methoxyphenyl)-4-oxo-chroman-7-yl]oxy-hexanal",C22H24O10,448.42,0.13,162.98,10,5,9,0.33,0,2,0.36,1.58,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,Flavonoids,Phenylpropanoids and polyketides,4'-O-methylated flavonoids,,AfroDB|ZINC NP,t,f,,COCONUT,True,True,DMPZEZRVMODILP,,False,0.3156649486934954,123
CNP0221435.4,C=C(C)[C@H]1Cc2c(cc(O)c3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,ZPEHYKMRUBEPSQ-UAOJZALGSA-N,,"(1~{R},6~{R},13~{S})-10-hydroxy-6-isopropenyl-16,17-dimethoxy-2,7,20-trioxapentacyclo[11.8.0.0^{3,11}.0^{4,8}.0^{14,19}]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one",C23H22O7,410.42,3.41,83.45,7,1,3,0.78,0,2,0.35,2.22,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavanones,Isoflavonoids,Phenylpropanoids and polyketides,Rotenones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,ZPEHYKMRUBEPSQ,NPC496435,True,0.3153634836843372,124
CNP0179686.1,C[C@]1(CO)[C@H](O)CC[C@]2(C)C3C[C@H]4[C@H]5CC3(CC[C@@H]12)C[C@]54C,PIRXBCDSMORUTK-RTSVVQNZSA-N,"(4~{R},5~{S},6~{R},9~{R},12~{S},13~{S},14~{R})-5-(hydroxymethyl)-5,9,13-trimethyl-pentacyclo[11.2.1.0^{1,10}.0^{4,9}.0^{12,14}]hexadecan-6-ol","(4~{R},5~{S},6~{R},9~{R},12~{S},13~{S},14~{R})-5-(hydroxymethyl)-5,9,13-trimethyl-pentacyclo[11.2.1.0^{1,10}.0^{4,9}.0^{12,14}]hexadecan-6-ol",C20H32O2,304.47,3.61,40.46,2,2,1,0.78,0,0,1.0,3.57,Terpenoids,Diterpenoids,Trachylobane diterpenoids,Prenol lipids,Lipids and lipid-like molecules,Atisane diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,PIRXBCDSMORUTK,NPC568178,True,0.31477496035592156,125
CNP0179921.2,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(CO)CC[C@@]3(C)CC[C@]12C,GYUVZGGERRSPQY-PKRYXMRBSA-N,,"(6~{a}~{S},6~{b}~{S},8~{a}~{R},11~{R},12~{a}~{R},14~{a}~{R})-3-hydroxy-11-(hydroxymethyl)-4,6~{a},6~{b},8~{a},11,14~{a}-hexamethyl-7,8,9,10,12,12~{a},13,14-octahydropicen-2-one",C29H40O3,436.64,6.61,57.53,3,2,1,0.49,1,0,0.69,3.4,Terpenoids,Triterpenoids,Friedelane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,Triterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,GYUVZGGERRSPQY,NPC554068,True,0.3139604180624518,126
CNP0160260.1,COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CCN3CC2,WXVSPYOOFCCEII-KXBFYZLASA-N,Erysotrine,"(2~{R},13~{b}~{S})-2,11,12-trimethoxy-2,6,8,9-tetrahydro-1~{H}-indolo[7~{a},1-a]isoquinoline",C19H23NO3,313.4,2.67,30.93,4,0,3,0.86,0,1,0.47,2.44,Alkaloids,Lysine alkaloids,Indolizidine alkaloids,Erythrina alkaloids,Alkaloids and derivatives,Erythrinanes,Berberis zycium|Erythrina abyssinica|Erythrina atitlanensis|Erythrina crista-galli|Erythrina crista-galli L.|Erythrina flabelliformis|Erythrina fusca|Erythrina glauca|Erythrina goldmanii|Erythrina guatemalensis|Erythrina herbacea|Erythrina latissima|Erythrina lysistemon|Erythrina macrophylla|Erythrina mulungu|Erythrina oliviae|Erythrina poeppigiana|Erythrina senegalensis|Erythrina steyermarkii|Erythrina suberosa|Erythrina tajumulcensis|Erythrina velutina|Erythrina verna|Erythrina vespertilio|Erythrina zeyheri|Osmundaria fimbriata|Rissoella verruculosa|Smallanthus fruticosus,ANPDB|AfroCancer|AfroDB|Australian natural products|ChEBI NPs|ETM (Ethiopian Traditional Medicine) DB|KNApSaCK|Latin America dataset|NANPDB (Natural Products from Northern African Sources)|NPASS|NPEdia|NuBBEDB|Super Natural II|TCMDB@Taiwan (Traditional Chinese Medicine database)|TPPT (Toxic Plants–PhytoToxins),f,f,10.1002/9780470744307.gat218|10.1002/biuz.19840140514|10.1002/food.19880321030|10.1055/s-0031-1298310|10.1080/14786419.2011.573791|10.1139/v81-400,COCONUT,True,True,WXVSPYOOFCCEII,NPC130926,True,0.31388826542676884,127
CNP0319376.0,COc1cc2c(-c3ccc4c(c3)OCO4)c3c(c(OC)c2c(O)c1OC)COC3=O,DAJCPKBGJAUYSO-UHFFFAOYSA-N,,"9-(1,3-benzodioxol-5-yl)-5-hydroxy-4,6,7-trimethoxy-3~{H}-benzo[f]isobenzofuran-1-one",C22H18O8,410.38,3.64,92.68,8,1,4,0.65,0,3,0.23,1.22,Shikimates and Phenylpropanoids,Lignans,Arylnaphthalene and aryltetralin lignans,Arylnaphthalene lignans,"Lignans, neolignans and related compounds",Arylnaphthalene lignans,,AfroDB|UNPD (Universal Natural Products Database)|ZINC NP,f,f,,COCONUT,True,True,DAJCPKBGJAUYSO,,False,0.31371293581897813,128
CNP0346465.1,C=C(CC[C@H](C)[C@H]1CC[C@]2(C)C[C@@H]3CC[C@@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35C[C@@]12C)C(C)C,MOKNPKQLTXZSJP-AVUXYQANSA-N,,"(1~{R},3~{R},6~{S},8~{S},11~{S},13~{R},16~{R},17~{S})-16-[(1~{S})-1,5-dimethyl-4-methylene-hexyl]-7,7,13,17-tetramethyl-pentacyclo[9.7.0.0^{1,3}.0^{3,8}.0^{13,17}]octadecan-6-ol",C31H52O,440.76,8.41,20.23,1,1,5,0.43,1,0,0.94,3.33,Terpenoids,Triterpenoids,Cycloartane triterpenoids,Prenol lipids,Lipids and lipid-like molecules,Diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,MOKNPKQLTXZSJP,,False,0.3133711168815723,129
CNP0208534.7,C=C1C(=O)O[C@@H]2/C=C(/C)C(=O)/C=C\[C@@](C)(O)C[C@@H](OC(=O)C(C)C)[C@@H]12,DUQSSEQKLJQACA-NTFRXAQNSA-N,"[(3aR,4R,6S,7Z,10Z,11aR)-6-hydroxy-6,10-dimethyl-3-methylidene-2,9-dioxo-3a,4,5,11a-tetrahydrocyclodeca[b]furan-4-yl] 2-methylpropanoate","[(3~{a}~{R},4~{R},6~{S},7~{Z},10~{Z},11~{a}~{R})-6-hydroxy-6,10-dimethyl-3-methylene-2,9-dioxo-3~{a},4,5,11~{a}-tetrahydrocyclodeca[b]furan-4-yl] 2-methylpropanoate",C19H24O6,348.4,1.88,89.9,6,1,2,0.61,0,0,0.53,3.05,Terpenoids,Sesquiterpenoids,Germacrane sesquiterpenoids,Prenol lipids,Lipids and lipid-like molecules,Germacranolides and derivatives,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,DUQSSEQKLJQACA,NPC524359,True,0.31318867578864495,130
CNP0226538.2,COc1ccc(C[C@H]2COc3cc(O)cc(O)c3C2=O)cc1,IERGURVELWCYAW-NSHDSACASA-N,"(3S)-5,7-dihydroxy-3-[(4-methoxyphenyl)methyl]-2,3-dihydrochromen-4-one","(3~{S})-5,7-dihydroxy-3-[(4-methoxyphenyl)methyl]chroman-4-one",C17H16O5,300.31,2.54,75.99,5,2,3,0.91,0,2,0.24,1.52,Shikimates and Phenylpropanoids,Isoflavonoids,Isoflavanones,Homoisoflavonoids,Phenylpropanoids and polyketides,Homoisoflavanones,Urginea depressa,AfroCancer|AfroDB|NPASS|Super Natural II|ZINC NP,f,f,10.1021/np300900a,COCONUT,True,True,IERGURVELWCYAW,NPC76445,True,0.31277519165738193,131
CNP0325228.0,C=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,JBGZWGGVJWHTPR-UHFFFAOYSA-N,,"5,7-dimethoxy-6-(5-methylene-4-oxo-3-furyl)-2-phenyl-chromen-4-one",C22H16O6,376.36,3.93,74.97,6,0,4,0.64,0,3,0.09,1.66,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Flavonoids,Phenylpropanoids and polyketides,5-O-methylated flavonoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,JBGZWGGVJWHTPR,,False,0.31236578776266,132
CNP0329927.1,CCN1CC[C@H]2c3ccccc3N[C@@H]2[C@H]1CCCc1nccc2c3cc(O)ccc3n(C)c12,ZJLMRBDQLLZXAL-BAURHKQJSA-N,,"1-[3-[(1~{R},4~{a}~{S},9~{a}~{S})-2-ethyl-1,3,4,4~{a},9,9~{a}-hexahydropyrido[3,4-b]indol-1-yl]propyl]-9-methyl-pyrido[3,4-b]indol-6-ol",C28H32N4O,440.59,5.43,53.32,5,2,5,0.43,1,4,0.39,0.81,Alkaloids,Tryptophan alkaloids,Carboline alkaloids,Harmala alkaloids,Alkaloids and derivatives,Harmala alkaloids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,ZJLMRBDQLLZXAL,,False,0.3116379032965277,133
CNP0196776.3,COC(=O)/C(=C\C[C@@H]1[C@@]2(CC[C@@H]3C(C)(C)CCC[C@@]31C)CO2)[C@@H]1CO1,ZLHMCXAVSLJKRX-VHBWLNAHSA-N,,"methyl (~{Z})-4-[(1~{S},2~{S},4~{a}~{R},8~{a}~{S})-5,5,8~{a}-trimethylspiro[decalin-2,2'-oxirane]-1-yl]-2-[(2~{R})-oxiran-2-yl]but-2-enoate",C21H32O4,348.48,3.89,51.36,4,0,4,0.44,0,0,0.86,3.07,Terpenoids,Diterpenoids,Labdane diterpenoids,Prenol lipids,Lipids and lipid-like molecules,Diterpenoids,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,ZLHMCXAVSLJKRX,NPC476519,True,0.31061072298820264,134
CNP0236620.27,CC[C@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]21C)C(C)C,KZJWDPNRJALLNS-MKCIQGPKSA-N,,"(3~{S},8~{R},9~{R},10~{S},13~{S},14~{R},17~{R})-17-[(1~{S},4~{R})-4-ethyl-1,5-dimethyl-hexyl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1~{H}-cyclopenta[a]phenanthren-3-ol",C29H50O,414.72,8.02,20.23,1,1,6,0.44,1,0,0.93,2.68,Terpenoids,Steroids,Stigmastane steroids,Steroids and steroid derivatives,Lipids and lipid-like molecules,Stigmastanes and derivatives,,AfroDB,f,f,,COCONUT,True,True,KZJWDPNRJALLNS,NPC587637,True,0.3105495057910009,135
CNP0346266.1,CC[C@]1(C)OC[C@H]2CC(=O)[C@@H]3[C@@H]([C@@H]21)[C@H](O)C[C@]1(C)[C@H](c2ccoc2)OC(=O)[C@@H]2O[C@@]321,JGVUFFWRMRBXQV-CKLLZUPWSA-N,,"(1~{R},2~{R},4~{R},7~{S},8~{R},10~{R},11~{R},12~{R},13~{S},16~{S})-13-ethyl-7-(3-furyl)-10-hydroxy-8,13-dimethyl-3,6,14-trioxapentacyclo[9.7.0.0^{2,4}.0^{2,8}.0^{12,16}]octadecane-5,18-dione",C23H28O7,416.47,2.42,98.5,7,1,2,0.58,0,1,0.74,3.16,Terpenoids,Triterpenoids,Limonoids,Steroids and steroid derivatives,Lipids and lipid-like molecules,Steroid lactones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,JGVUFFWRMRBXQV,,False,0.31019070458609405,136
CNP0161258.2,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,AUVVAXYIELKVAI-CKBKHPSWSA-N,EMETINE,"(2~{S},3~{R},11~{b}~{S})-2-[[(1~{R})-6,7-dimethoxy-1,2,3,4-tetrahydroisoquinolin-1-yl]methyl]-3-ethyl-9,10-dimethoxy-2,3,4,6,7,11~{b}-hexahydro-1~{H}-benzo[a]quinolizine",C29H40N2O4,480.65,4.94,52.19,6,1,7,0.61,0,2,0.59,0.96,Alkaloids,Tyrosine alkaloids,Isoquinoline alkaloids,Emetine alkaloids,Alkaloids and derivatives,Emetine alkaloids,Acodontaster conspicuus|Ageratina cylindrica|Alangium longiflorum|Amauroascus aureus|Ascochyta caulina|Bacterial str|Carapichea affinis|Carapichea ipecacuanha|Cephaelis acuminata|Cephaelis ipecacuanha|Cephalis acuminata|Cephalis ipecacuanha|Clonostachys rosea|Coryphantha elephantidens|Eremophila oppositifolia|Hedera helix|Helichrysum heterolasium|Helichrysum revolutum|Helminthosporium ravenelii|Hirsutella nivea|Mentha aquatica var. citrata|Neurolaena oaxacana|Osteospermum jucundum|Parmelia cetrarioides|Poria corticola|Psychotria burucana|Psychotria ipecacuanha|Psychotria klugii|Salvia clinopodioides|Spinacia glabra|Streptomyces avidinii|Swainsona salsula|Tragopogon porrifolius,AfroDB|Australian natural products|CMAUP (cCollective molecular activities of useful plants)|ChEBI NPs|HIT (Herbal Ingredients Targets)|KNApSaCK|NPASS|NPEdia|Super Natural II|TCMDB@Taiwan (Traditional Chinese Medicine database)|ZINC NP,f,f,10.1017/s0022149x00033812|10.1021/acs.jnatprod.5b00488|10.1021/acs.jnatprod.8b00952|10.1021/np030086k|10.1021/np400964w|10.1021/np990038t,COCONUT,True,True,AUVVAXYIELKVAI,NPC187022,True,0.3099005108150825,137
CNP0346270.1,CC(=O)CCc1cc(O)cc2c1C(=O)C[C@H](C)O2,QOGYBAIFUWFKAJ-VIFPVBQESA-N,,(2~{S})-7-hydroxy-2-methyl-5-(3-oxobutyl)chroman-4-one,C14H16O4,248.28,2.27,63.6,4,1,3,0.89,0,1,0.43,1.73,Polyketides,Chromanes,Chromones,Benzopyrans,Organoheterocyclic compounds,Chromones,,AfroDB|ZINC NP,f,f,,COCONUT,True,True,QOGYBAIFUWFKAJ,,False,0.3098393333877872,138
CNP0237026.1,C=C(C)[C@@H]1CC[C@]2(C)CC[C@@H]3[C@H](CC[C@H]4[C@@]3(C)CC=C3C(C)(C)[C@@H](O)CC[C@@]34C)[C@H]12,ORWDIKPREPLUKY-MQRPAUOASA-N,,"(1~{R},3~{a}~{R},5~{a}~{R},5~{b}~{S},9~{S},11~{a}~{R},11~{b}~{S},13~{a}~{S},13~{b}~{R})-1-isopropenyl-3~{a},5~{b},8,8,11~{a}-pentamethyl-2,3,4,5,5~{a},6,9,10,11,11~{b},12,13,13~{a},13~{b}-tetradecahydro-1~{H}-cyclopenta[a]chrysen-9-ol",C29H46O,410.69,7.55,20.23,1,1,1,0.44,1,0,0.86,3.19,Terpenoids,Triterpenoids,Lupane triterpenoids,Steroids and steroid derivatives,Lipids and lipid-like molecules,Estrane steroids,,AfroDB,f,f,,COCONUT,True,True,ORWDIKPREPLUKY,,False,0.30957458869309684,139
CNP0354403.1,COc1cc2c(cc1O)C[C@H]1c3c(cc(O)c(OC)c3-2)CCN1C,LZJRNLRASBVRRX-ZDUSSCGKSA-N,Boldine,"(6~{a}~{S})-1,10-dimethoxy-6-methyl-5,6,6~{a},7-tetrahydro-4~{H}-dibenzo[de,g]quinoline-2,9-diol",C19H21NO4,327.38,2.87,62.16,5,2,2,0.89,0,2,0.37,1.76,Alkaloids,Tyrosine alkaloids,Aporphine alkaloids,Aporphines,Alkaloids and derivatives,Aporphines,Alpinia pricei|Angelica pachycarpa|Annona senegalensis|Baccharis scandens|Beilschmiedia kunstleri|Boldea fragrans|Bursera simaruba|Callistemon speciosus|Cephalaria leucantha|Cissus quadrangularis|Coleus wulfenioides|Crinum stuhlmannii subsp. delagoense|Curcuma wenyujin|Delphinium denudatum|Desmos spp.|Diplacus aurantiacus|Ericameria laricifolia|Eupatorium rebaudianum|Ferulago sylvatica|Ficus septica|Gordonia terrae|Hedycarya angustifolia|Laurelia spp.|Ligularia odontomanes|Lindera aggregata|Lindera aggregate|Lindera glauca|Lindera strichnifolia|Lippia graveolens|Litsea acuminata|Litsea cubeba|Litsea deccanensis|Litsea garciae|Litsea laurifolia|Litsea turfosa|Loranthus longiflorus|Macaranga pleiostemona|Mentha incana|Metadina trichotoma|Metrodorea flavida|Monimia rotundifolia|Nalanthamala diospyri|Nectandra grandiflora|Nectandra ramonensis|Nectandra salicifolia|Neolitsea acuminatissima|Neolitsea dealbata|Neolitsea konishii|Ormosia fordiana|Paeonia officinalis|Palaquium leiocarpum|Parmelia scortea|Peumus boldus|Podocarpus elatus|Polanisia trachysperma|Polygala senega|Pterospermum lanceolatum|Radermachia sinica|Ramalina farinacea|Retanilla spp.|Sassafras albidum|Seiridium cardinale|Siparuna pauciflora|Solanum boerhaavii|Streptomyces nigrescens|Trivalvaria macrophylla|Vachellia karroo|Vismia macrophylla|Xylopia parviflora,AfroDB|Australian natural products|CMAUP (cCollective molecular activities of useful plants)|ChEBI NPs|GNPS (Global Natural Products Social Molecular Networking)|KNApSaCK|Latin America dataset|NPASS|SANCDB|Super Natural II|TCMDB@Taiwan (Traditional Chinese Medicine database)|TIPdb (database of Taiwan indigenous plants)|VietHerb,f,f,10.1016/j.bmcl.2010.07.100|10.1016/j.jep.2016.04.005|10.1021/np960195h|10.3987/r-1987-02-0447,COCONUT,True,True,LZJRNLRASBVRRX,NPC306843,True,0.30957349406547296,140
CNP0214030.0,CC=C1OC=C(c2c(OC)cc3oc(-c4ccccc4)cc(=O)c3c2OC)C1=O,GGJHYKYSLATMIB-UHFFFAOYSA-N,,"6-(5-ethylidene-4-oxo-3-furyl)-5,7-dimethoxy-2-phenyl-chromen-4-one",C23H18O6,390.39,4.32,74.97,6,0,4,0.62,0,3,0.13,1.67,Shikimates and Phenylpropanoids,Flavonoids,Flavones,Flavonoids,Phenylpropanoids and polyketides,5-O-methylated flavonoids,,AfroDB|UNPD (Universal Natural Products Database)|ZINC NP,f,f,,COCONUT,True,True,GGJHYKYSLATMIB,,False,0.30854756301792297,141
